2026-02-21 03:45:34 | INFO     | pipeline.bronze | Saved 52 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3857268.parquet
2026-02-21 03:45:34 | INFO     | pipeline.bronze |   [60/64] match_id=3857265
2026-02-21 03:45:34 | INFO     | pipeline.bronze | Saved 3,184 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/events/3857265.parquet
2026-02-21 03:45:34 | INFO     | pipeline.bronze | Saved 52 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3857265.parquet
2026-02-21 03:45:34 | INFO     | pipeline.bronze |   [61/64] match_id=3857262
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 3,379 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/events/3857262.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 49 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3857262.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze |   [62/64] match_id=3857261
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 3,316 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/events/3857261.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 50 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3857261.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze |   [63/64] match_id=3857255
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 4,450 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/events/3857255.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 52 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3857255.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze |   [64/64] match_id=3857254
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 3,680 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/events/3857254.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze | Saved 52 rows → /Users/divyanshshrivastava/bootcamp-hub/repos/statsbomb-viz/data/bronze/lineups/3857254.parquet
2026-02-21 03:45:35 | INFO     | pipeline.bronze | BRONZE LAYER — Complete
2026-02-21 03:45:35 | INFO     | runner | Pipeline complete.
2026-02-21 03:53:53 | INFO     | runner | Running Bronze...
2026-02-21 03:53:53 | INFO     | pipeline.bronze | ==================================================
2026-02-21 03:53:53 | INFO     | pipeline.bronze | BRONZE LAYER — Starting
2026-02-21 03:53:53 | INFO     | pipeline.bronze | ==================================================
2026-02-21 03:53:53 | INFO     | pipeline.bronze | Processing: FIFA World Cup 2022
2026-02-21 03:53:53 | INFO     | pipeline.bronze | Found 64 matches for FIFA World Cup 2022
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [1/64] match_id=3857256
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [2/64] match_id=3869151
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [3/64] match_id=3857257
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [4/64] match_id=3857258
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [5/64] match_id=3857288
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [6/64] match_id=3857267
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [7/64] match_id=3869321
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [8/64] match_id=3857287
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [9/64] match_id=3869486
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [10/64] match_id=3869685
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [11/64] match_id=3857260
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [12/64] match_id=3857264
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [13/64] match_id=3857266
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [14/64] match_id=3857289
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [15/64] match_id=3857269
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [16/64] match_id=3857294
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [17/64] match_id=3869254
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [18/64] match_id=3869118
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [19/64] match_id=3869684
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [20/64] match_id=3869519
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [21/64] match_id=3869354
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [22/64] match_id=3869552
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [23/64] match_id=3869420
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [24/64] match_id=3869220
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [25/64] match_id=3869219
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [26/64] match_id=3869253
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [27/64] match_id=3869152
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [28/64] match_id=3869117
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [29/64] match_id=3857270
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [30/64] match_id=3857263
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [31/64] match_id=3857259
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [32/64] match_id=3857295
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [33/64] match_id=3857283
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [34/64] match_id=3857284
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [35/64] match_id=3857282
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [36/64] match_id=3857286
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [37/64] match_id=3857301
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [38/64] match_id=3857300
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [39/64] match_id=3857299
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [40/64] match_id=3857298
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [41/64] match_id=3857297
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [42/64] match_id=3857296
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [43/64] match_id=3857293
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [44/64] match_id=3857292
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [45/64] match_id=3857291
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [46/64] match_id=3857290
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [47/64] match_id=3857285
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [48/64] match_id=3857281
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [49/64] match_id=3857280
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [50/64] match_id=3857279
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [51/64] match_id=3857278
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [52/64] match_id=3857277
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [53/64] match_id=3857276
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [54/64] match_id=3857275
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [55/64] match_id=3857274
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [56/64] match_id=3857273
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [57/64] match_id=3857272
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [58/64] match_id=3857271
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [59/64] match_id=3857268
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [60/64] match_id=3857265
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [61/64] match_id=3857262
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [62/64] match_id=3857261
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [63/64] match_id=3857255
2026-02-21 03:53:53 | INFO     | pipeline.bronze |   [64/64] match_id=3857254
2026-02-21 03:53:53 | INFO     | pipeline.bronze | BRONZE LAYER — Complete
2026-02-21 03:53:53 | INFO     | runner | Pipeline complete.
2026-02-21 03:57:05 | INFO     | runner | Running Bronze...
2026-02-21 03:57:05 | INFO     | pipeline.bronze | ==================================================
2026-02-21 03:57:05 | INFO     | pipeline.bronze | BRONZE LAYER — Starting
2026-02-21 03:57:05 | INFO     | pipeline.bronze | ==================================================
2026-02-21 03:57:05 | INFO     | pipeline.bronze | Processing: FIFA World Cup 2022
2026-02-21 03:57:05 | INFO     | pipeline.bronze | Found 64 matches for FIFA World Cup 2022
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [1/64] match_id=3857256
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [2/64] match_id=3869151
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [3/64] match_id=3857257
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [4/64] match_id=3857258
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [5/64] match_id=3857288
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [6/64] match_id=3857267
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [7/64] match_id=3869321
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [8/64] match_id=3857287
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [9/64] match_id=3869486
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [10/64] match_id=3869685
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [11/64] match_id=3857260
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [12/64] match_id=3857264
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [13/64] match_id=3857266
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [14/64] match_id=3857289
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [15/64] match_id=3857269
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [16/64] match_id=3857294
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [17/64] match_id=3869254
2026-02-21 03:57:05 | INFO     | pipeline.bronze |   [18/64] match_id=3869118
